id,injector_code,test_name,motor_speed,setted_pressure,adjusting_time,measurement_time,codefield,injection_rate,total_pulse_time,coding_flow_range,nominal_flow,flow_range,max_correction
1,0445110080,4,1000,800,120,60,NULL,60,210,0.75,1.4,78.57,NULL
2,0445110080,5,1000,600,120,60,NULL,60,275,0.75,1.9,84.21,NULL
3,0445110080,2,1000,300,90,60,NULL,60,630,1.3,5.5,54.55,NULL
4,0445110080,1,1000,600,40,60,NULL,60,600,2,16.2,28.4,NULL
5,0445110080,3,1000,1600,140,60,NULL,60,900,3,75.9,7.91,NULL
6,0445110296,4,1000,800,120,60,NULL,60,220,0.75,1.4,78.57,NULL
7,0445110296,5,1000,NULL,120,60,NULL,60,NULL,NULL,NULL,NULL,NULL
8,0445110296,2,1000,300,90,60,NULL,60,800,1.3,7.7,38.96,NULL
9,0445110296,1,1000,1000,40,60,NULL,60,550,2,19.8,24.75,NULL
10,0445110296,3,1000,1600,45,60,NULL,60,1400,4,78.2,10.36,NULL
11,0445110161,4,1000,600,120,15,NULL,60,255,0.75,1.7,82.35,NULL
12,0445110161,5,1000,1200,120,15,NULL,60,230,NULL,1.3,76.92,NULL
13,0445110161,2,1000,300,90,15,NULL,60,630,1.3,5.1,64.71,NULL
14,0445110161,1,1000,600,60,15,NULL,60,630,2.0,16.2,27.16,NULL
15,0445110161,3,1000,1600,45,15,NULL,60,800,4.0,69.8,11.46,NULL
16,0445110188,4,1000,800,120,60,NULL,60,220,0.75,1.5,80,NULL
17,0445110188,5,1000,NULL,120,60,NULL,60,NULL,NULL,NULL,NULL,NULL
18,0445110188,2,1000,250,90,60,NULL,60,650,1.3,3.7,81.08,NULL
19,0445110188,1,1000,800,40,60,NULL,60,600,2,16.6,27.71,NULL
20,0445110188,3,1000,1600,45,60,NULL,60,1000,4,50.5,11.88,NULL
21,0445110252,4,1000,600,120,60,NULL,60,280,NULL,1.8,83.33,NULL
22,0445110252,5,1000,1200,120,60,NULL,60,235,NULL,1.1,72.73,NULL
23,0445110252,2,1000,300,90,60,NULL,60,670,NULL,5.2,63.46,NULL
24,0445110252,1,1000,600,40,60,NULL,60,730,NULL,16.5,26.67,NULL
25,0445110252,3,1000,1450,45,60,NULL,60,750,NULL,36.6,21.86,NULL
